Year,Month,Day,Time,Gateway,Latitude,Longitude,Port,Measurement Type,Values,Notes,Creator
2016,7,19,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,7,20,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,7,21,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,7,22,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,7,23,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0.76,,
2016,7,24,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,7,25,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,7,26,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,7,27,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,7,28,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,7,29,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,7,30,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,7,31,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,1,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,2,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,3,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,4,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,2.03,,
2016,8,5,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,6,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,7,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,8,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,9,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,10,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,11,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,12,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,13,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,14,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,15,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,16,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,17,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,18,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,19,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,20,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,21,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,22,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,23,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,24,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0.25,,
2016,8,25,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,26,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,27,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,28,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,29,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,30,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,8,31,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,1,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,2,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,3,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,4,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,5,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,6,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,7,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,8,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,9,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,10,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,11,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,12,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,13,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,14,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,15,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,16,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,17,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,18,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,19,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,20,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,21,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,22,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,23,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,24,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,25,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,26,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,27,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,28,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,29,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,9,30,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,10,1,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,10,2,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,10,3,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,10,4,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0.76,,
2016,10,5,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,1.27,,
2016,10,6,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,10,7,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,10,8,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
2016,10,9,0:16:00,PCGW01C303385,50.3795433,-105.4535213,DIG-1,Rain Gauge,0,,
